,nv,ku,mg,tn,ca,kfe,lo,bfq,bg,mk,an,si,hu,ta,nn,sv,kfa,tt,kk,rm,gon,mh,es,sa,gd,ne,id,ky,cs,ks,ae,om,pt,ar,av,kxv,el,kff,ko,kw,ps,my,kl,br,gdb,sc,fi,af,se,am,qu,gn,eu,th,wo,gl,ab,gv,kfb,bn,ga,yi,is,fo,co,as,ro,mi,sl,ay,wa,dz,ii,pci,ha,oc,tr,az,ch,brh,nb,os,hi,pl,ru,ht,pa,ba,ug,sd,aa,tk,mjt,vi,xub,it,tg,rw,kn,mt,tcy,ty,xmf,hy,la,et,bm,te,jv,ml,lv,zu,st,de,sq,lt,lb,gu,ee,ki,fr,za,ja,ka,da,fa,mn,sk,he,nl,mr,ny,xh,cy,yea,sva,km,tl,kru,ur,iu,ce,sw,cv,tcx,fy,uk,uz,lzz,bo,ms,li,be
xh,33.88888,25.25277,45.0,20.13383,26.16567,22.42534,28.90908,23.64757,22.9599,23.71037,17.6923,29.28571,26.57239,23.85236,26.34835,25.56357,22.32832,27.33516,28.16071,N/A,24.35799,N/A,21.45147,24.41413,29.3193,N/A,23.99146,N/A,24.38753,31.11111,30.0,26.0,23.88962,25.29341,29.375,22.98642,22.47686,23.7534,26.41413,29.39948,25.8197,29.33563,N/A,26.82132,24.5373,19.81481,22.67666,27.55294,21.4626,32.22222,N/A,17.0,25.15625,28.75449,26.51515,21.70239,26.27777,28.03021,24.2975,27.13144,28.30118,25.77967,25.51312,25.77575,21.42307,25.74368,25.57048,N/A,24.05383,N/A,N/A,34.88194,34.7156,27.38165,27.0,24.47877,26.12818,25.27608,N/A,28.28509,23.18181,N/A,26.87071,24.15607,24.12281,30.59027,28.14357,26.98303,27.9836,N/A,25.0,29.6789,22.23532,27.28991,22.99108,22.40321,27.12677,15.77575,21.86052,26.14775,21.85156,N/A,23.76421,27.23062,23.69822,26.25,33.33333,21.49244,N/A,23.77316,24.17071,6.21825,N/A,26.10732,26.75357,22.98279,27.9228,N/A,31.63293,19.05151,28.55138,29.69776,23.16539,24.44811,26.91569,27.9046,30.0372,24.48378,24.9221,26.71976,33.57142,20.25955,,,,,,,,,,,,,,,,,,,,,
cy,24.02772,19.24274,26.55288,23.6284,19.91212,22.57727,23.56536,22.15312,20.19146,20.9161,17.71978,34.28571,21.68333,22.23573,20.77077,20.54869,22.54822,28.17708,22.15276,12.03703,22.13551,25.29882,20.19107,22.98149,18.82866,12.5,21.00708,22.08333,21.21714,30.0,11.42857,22.85714,20.70641,21.99055,21.875,22.83328,21.05435,23.66124,24.17305,7.44701,20.12576,23.89323,22.85714,13.33357,21.57338,20.38656,21.25247,21.10655,23.54717,23.04925,29.58333,17.5,20.02531,23.27383,18.71356,20.83426,26.33399,19.08236,22.81813,23.33779,20.51896,20.14073,21.07491,21.5234,23.92857,21.77458,19.02266,N/A,20.47167,22.77777,24.73665,23.02976,24.90252,21.19067,17.85714,18.36619,22.58034,22.23747,17.77777,21.92333,19.20429,21.25,21.70363,22.01101,21.95213,25.93303,19.96382,23.05092,22.58737,18.47619,19.0,21.31908,22.7785,23.09908,23.46561,20.63509,20.10504,26.05039,22.63116,22.13623,22.4811,N/A,24.14141,21.53347,19.96427,22.11217,18.58974,24.38285,20.0,23.45395,20.27946,26.52467,20.83333,20.38472,19.50675,22.35526,20.5775,26.25,24.66267,23.18867,21.36177,22.86576,23.92439,24.12005,20.02659,21.01807,23.00303,21.0226,21.42348,19.71622,27.04861,22.98042,27.29436,,,,,,,,,,,,,,,,,,,,
yea,24.15318,21.02203,25.75,16.74952,21.56915,14.4162,22.77773,13.05368,20.27953,20.34115,17.08333,25.0,22.77454,12.4973,22.80685,22.15413,6.68581,24.74116,20.43031,28.88888,16.93087,24.3759,19.27627,20.82717,24.64955,17.0,19.77639,22.77777,21.03795,30.83333,23.33333,23.75,20.40036,19.41641,24.375,16.98511,19.68182,17.22441,23.22977,23.08118,23.31661,23.93851,17.14285,22.33451,19.12713,18.64225,19.58124,23.66732,19.67994,21.69973,22.85714,24.0,22.92032,23.19942,19.31795,20.34795,23.3373,22.31977,18.15357,20.82192,24.83403,24.13488,21.57245,22.55746,18.75,20.68484,21.16571,16.11111,21.11953,19.95238,16.11111,26.21031,29.41233,20.64551,6.875,21.25446,22.83849,21.70706,N/A,21.33705,18.44959,25.0,22.07985,21.58437,21.58707,22.75,22.56283,22.88377,24.95013,15.9375,18.125,25.21212,17.89423,23.66403,13.91934,19.79203,20.87505,20.53596,11.96295,22.69091,13.76554,15.71428,20.74653,22.87553,21.19143,21.21577,15.31746,16.45661,29.0,13.30735,22.12828,22.34216,15.0,22.03041,22.89101,21.63582,23.6502,27.14285,23.70935,20.97296,24.06608,24.58828,20.24531,21.15503,21.69123,21.89971,22.98785,21.12871,21.59537,23.50424,21.74107,18.3592,22.68578,21.96101,,,,,,,,,,,,,,,,,,,
sva,25.09878,22.10131,30.46875,21.4032,22.67059,23.44241,24.13775,22.57036,22.18306,22.02922,26.03896,20.0,24.14867,23.6519,24.08723,23.4012,23.44213,23.2123,21.49297,19.3373,22.94345,24.25955,22.8241,23.47518,25.56213,12.5,21.89382,19.44444,22.60469,28.0,21.0,27.14285,22.61746,22.87168,22.0,21.81973,22.77791,23.777,24.21929,25.66144,22.34048,27.06967,17.14285,24.79229,22.43224,22.16,22.8449,23.7885,23.58596,21.49867,26.45833,17.36111,23.79352,24.53623,22.46693,23.87379,26.70912,23.75477,23.07376,22.62916,26.34912,23.00771,23.36005,23.8757,27.69027,23.45958,22.76785,26.42857,22.66947,22.63888,21.82069,28.27976,26.56547,24.78331,25.0,22.6906,23.31069,22.48908,22.5,22.41989,24.0511,22.44318,22.9897,23.60095,23.86747,24.25347,24.75649,24.07754,23.61671,22.43055,16.66666,23.23881,22.66259,25.33532,24.15529,22.33957,23.37738,27.21008,23.50265,23.50143,22.51142,23.75,21.79057,23.67745,23.13425,23.08024,27.29166,24.07155,34.54545,23.38936,23.19309,27.73064,23.57142,23.27122,23.44261,24.30842,22.99006,14.16666,25.07787,26.49579,24.65777,24.49717,24.39181,21.90896,23.30705,22.69377,24.1945,22.73117,23.18442,22.84879,25.25,24.08569,27.5462,23.59502,22.8244,,,,,,,,,,,,,,,,,,
km,27.43027,24.29155,29.76984,23.2582,23.55601,25.52872,22.21098,25.77048,24.38015,24.39228,20.03246,27.0,24.11248,25.17568,23.75511,23.38939,25.08684,26.61931,23.27145,23.86994,24.09666,25.5017,24.55278,24.96341,24.38909,27.0,23.75239,20.59523,23.92899,26.0,28.88888,19.28571,25.78592,25.10677,25.0,25.06826,23.97438,26.23843,26.68514,23.67959,24.6887,24.41945,20.71428,22.84153,24.08976,22.74729,24.71339,23.39669,25.59105,24.85026,27.85714,30.3125,24.38108,21.90671,19.2576,26.18692,26.57996,23.56452,25.18521,25.55655,25.24858,24.38668,24.83956,25.28617,24.43452,24.56076,23.23263,19.375,23.91798,21.3988,20.0,25.22619,28.27951,22.47489,12.85714,23.71992,24.53275,23.77875,24.375,25.16025,21.03708,21.08585,24.69992,25.39049,25.31274,32.73214,25.91792,24.97213,25.78991,20.20833,27.72727,24.80273,25.97061,22.59633,26.11771,25.01984,24.08438,27.01262,25.57128,25.26802,26.25853,27.85714,27.45535,24.49406,25.06366,20.39761,22.39583,26.04123,26.875,26.60571,23.38688,28.47995,24.5,23.85197,24.05769,27.45774,23.51056,21.42857,23.49224,24.73721,24.92682,23.1231,26.22257,27.16038,23.18984,24.97075,26.45098,24.3055,25.29693,23.44591,27.52777,25.27594,27.89533,23.20563,24.7023,26.43585,,,,,,,,,,,,,,,,,
tl,23.10708,21.67063,23.125,23.05555,23.41809,22.12809,24.13662,20.3062,21.58381,20.32041,N/A,N/A,23.66543,22.2868,25.39297,24.24845,22.0272,26.13425,20.56869,20.0,22.50833,19.31767,21.0622,22.43086,25.37321,16.25,18.69788,N/A,22.95143,30.71428,N/A,N/A,22.11273,20.17992,N/A,19.97463,21.53985,21.65809,22.7549,22.76157,22.02801,26.40766,N/A,20.38895,21.8082,19.16666,22.18429,22.81787,21.22286,22.41732,24.16666,16.125,24.61309,24.13536,21.5625,23.01519,25.80782,23.52649,22.05653,23.38287,25.17547,22.32169,23.60913,22.88474,N/A,23.0646,22.79096,N/A,22.03363,23.07936,N/A,27.09523,30.53571,23.12728,N/A,21.12731,23.33347,22.80771,N/A,20.02851,26.95138,17.0,23.55996,23.17545,22.80664,25.0,21.62777,24.45971,25.86224,28.92857,N/A,27.98611,20.03054,24.50445,23.28448,20.89534,21.37174,20.5,20.03649,25.9,20.46636,N/A,21.96571,22.80564,21.38152,25.0,N/A,20.37007,N/A,20.58949,20.14458,23.40692,N/A,23.25035,21.83312,21.99919,23.48533,25.0,22.25765,21.29464,25.6867,23.53035,23.02987,21.33675,24.78772,22.26857,26.09254,22.84044,23.23,22.65154,22.875,21.8682,23.15331,22.8564,21.51064,23.0887,26.65273,,,,,,,,,,,,,,,,
kru,25.42339,21.06981,22.16666,23.70259,21.75425,20.67648,25.33394,19.56642,21.64187,21.23936,28.5,31.66666,23.35779,19.63585,23.03903,21.97093,19.12234,25.47569,22.00028,21.11111,19.13076,24.65327,20.85934,21.05921,23.93079,31.0,20.44631,16.42857,22.88979,13.0,25.625,23.75,22.0325,21.15958,20.0,19.24304,21.18151,20.29445,22.59284,24.95698,23.49672,24.6996,25.83333,22.91107,20.97858,18.77272,21.00479,24.73566,20.63626,21.99675,22.85714,23.0,22.30952,23.31088,26.08225,21.53346,26.37229,23.93205,19.75336,21.32571,24.98097,23.11,21.87594,22.66071,23.63095,21.89512,21.09136,18.57142,22.84108,23.15476,18.88888,26.69444,31.20346,21.88377,6.875,22.76358,21.54123,21.38544,N/A,21.13318,22.24859,21.81818,21.28003,22.57004,22.99821,31.26984,21.93187,22.81233,23.84405,7.70833,21.25,21.29782,15.79308,25.0937,20.53453,19.99905,20.99831,21.03237,19.84739,21.87476,19.1709,28.5,22.00826,23.10481,21.38797,20.32342,17.2619,20.95711,19.44444,19.42067,22.39316,25.59803,18.0,22.29866,22.22903,22.4169,22.92691,27.22222,25.52575,21.85937,24.43058,24.51036,22.67348,21.21395,22.43164,22.13637,23.37529,22.82003,22.99024,22.82484,22.85714,20.44139,25.96622,22.4157,19.30501,23.03337,25.69573,22.5077,,,,,,,,,,,,,,,
ur,25.00167,19.87882,30.0,15.76058,19.60936,23.91618,23.75812,22.83581,20.30776,21.24117,N/A,N/A,23.32611,21.2012,20.07407,21.19424,21.97788,16.57196,22.5558,14.25,20.30523,38.75,21.82184,18.16566,23.59358,11.25,19.82949,25.0,20.30798,24.16666,N/A,N/A,21.85055,21.53084,30.0,20.40391,21.78847,22.13528,22.42603,23.17176,20.82372,24.63521,N/A,22.02115,23.8267,21.35555,21.11574,21.79288,22.75485,23.89054,28.33333,21.45833,20.3869,22.76349,22.72321,22.74611,15.65476,22.89354,22.78048,13.6567,23.93194,21.96266,22.24001,22.66787,N/A,15.27986,19.78067,N/A,20.9879,24.16666,24.69696,25.82142,25.82653,22.67958,N/A,21.73072,20.96941,18.21204,N/A,21.17391,21.2619,24.375,3.02758,21.32954,21.35596,27.6875,8.38214,22.46578,18.65247,31.0,N/A,23.44761,20.52263,24.18926,24.10067,21.39999,19.34089,23.59427,22.44218,21.55348,22.06749,N/A,22.11358,22.8602,22.55234,24.69678,N/A,22.57009,N/A,22.06811,20.96984,26.65126,N/A,21.84623,21.67588,22.36632,23.03404,0.0,25.58869,23.86235,21.37669,24.8282,24.22952,22.86194,21.67673,19.51189,24.33011,20.35647,21.1002,21.23426,N/A,22.99842,24.91161,22.09591,21.57142,22.314,25.0694,22.84991,20.39644,,,,,,,,,,,,,,
iu,N/A,15.55555,N/A,N/A,18.57142,25.0,10.55555,25.0,16.11111,17.22222,N/A,N/A,21.11111,17.85714,20.0,20.0,27.5,N/A,17.5,N/A,26.0,N/A,23.88888,20.45454,18.75,N/A,16.25,N/A,23.18181,N/A,N/A,N/A,21.875,16.5,N/A,26.5,20.83333,28.75,21.66666,N/A,N/A,23.33333,N/A,N/A,15.55555,19.44444,20.0,N/A,N/A,N/A,N/A,N/A,N/A,10.55555,N/A,18.57142,N/A,N/A,21.81818,12.77777,21.875,20.625,20.45454,N/A,N/A,18.125,26.66666,N/A,21.5,N/A,N/A,N/A,N/A,12.85714,N/A,N/A,13.33333,13.33333,N/A,25.45454,N/A,N/A,20.45454,22.0,24.54545,N/A,N/A,25.0,N/A,N/A,N/A,N/A,22.22222,19.375,31.36363,20.625,N/A,N/A,26.36363,23.0,20.0,N/A,28.75,23.125,15.625,N/A,N/A,23.75,N/A,17.85714,19.0909,17.0,N/A,21.875,21.25,19.0,21.875,N/A,N/A,N/A,28.33333,20.0,16.25,26.875,N/A,N/A,N/A,23.0,N/A,21.875,N/A,N/A,17.77777,19.28571,21.0,23.75,12.77777,N/A,17.14285,N/A,,,,,,,,,,,,,
ce,N/A,22.5,N/A,N/A,27.77777,21.25,22.22222,24.45454,19.41558,26.25,N/A,N/A,26.46825,20.75,N/A,23.21428,22.43506,N/A,29.16666,N/A,24.84848,N/A,25.34722,34.375,31.25,N/A,16.66666,N/A,23.29545,N/A,N/A,N/A,24.375,24.47916,N/A,26.70833,21.66666,25.29914,20.41666,23.88888,24.28571,27.5,N/A,22.77777,23.96825,31.25,32.5,N/A,20.95454,27.22222,N/A,N/A,16.5,22.77777,N/A,12.72727,26.66666,24.42857,26.73611,20.5,25.89285,23.57142,25.51136,26.59722,20.0,26.94444,26.97916,N/A,20.90909,N/A,N/A,N/A,N/A,26.80555,N/A,26.97916,27.5,27.5,N/A,24.12337,N/A,24.375,25.41666,19.80113,22.5,N/A,N/A,28.88888,N/A,N/A,N/A,28.33333,20.10416,28.32142,23.38068,23.53535,23.15972,17.91666,25.55555,25.55555,25.07575,N/A,20.28571,24.61038,27.32954,27.5,N/A,24.94444,N/A,20.14285,21.33116,24.79166,N/A,25.39285,20.57142,N/A,21.66666,25.83333,N/A,11.25,22.36111,24.16666,26.81818,23.58333,22.04545,24.0625,25.20833,23.125,25.52083,18.91666,N/A,25.94444,23.33333,22.25694,22.82142,19.88636,21.28571,28.125,23.05555,25.83333,N/A,,,,,,,,,,,,
sw,N/A,24.16666,N/A,N/A,26.45833,16.875,20.25,18.33333,20.18518,30.0,N/A,N/A,23.62847,16.21794,26.66666,24.70238,18.33333,N/A,N/A,N/A,20.625,N/A,25.37684,17.63888,N/A,N/A,15.0,20.0,17.35449,N/A,N/A,N/A,17.22222,21.96296,N/A,N/A,20.44034,21.49038,21.8547,N/A,28.75,15.76388,N/A,18.72159,25.06944,N/A,17.66203,25.9375,17.36111,N/A,N/A,N/A,N/A,21.13825,N/A,20.0,N/A,17.27272,22.625,21.4935,23.1351,26.11111,21.61458,21.83333,N/A,24.05952,19.48148,N/A,16.55092,N/A,N/A,12.5,N/A,20.52884,N/A,25.0,21.43518,11.66666,N/A,24.54545,23.33333,N/A,24.17857,21.31534,22.77777,23.88888,N/A,20.62962,20.55555,N/A,N/A,20.55555,18.13131,23.57142,18.52564,22.58333,19.20634,7.30769,19.0909,23.0,20.5,N/A,16.36111,24.28472,22.52083,N/A,N/A,19.16666,N/A,15.10683,20.50925,12.94337,N/A,24.94444,15.21969,23.31547,25.85648,N/A,N/A,N/A,23.99007,25.09722,19.0,16.95707,25.48611,21.71536,24.60648,18.28042,21.23015,24.21875,24.0,15.55555,N/A,18.61965,18.75,24.73958,26.45833,23.625,20.75,21.8593,N/A,N/A,,,,,,,,,,,
cv,21.17857,29.58928,N/A,N/A,27.83485,16.09375,27.91558,22.86458,26.71428,25.61904,N/A,N/A,24.7602,21.91964,29.22222,27.99305,23.48958,N/A,20.83333,30.71428,25.15625,20.30555,26.04988,23.19061,23.25396,N/A,15.95238,N/A,23.67545,N/A,N/A,N/A,30.2276,25.59523,N/A,22.14037,18.02182,24.23412,20.43622,N/A,22.38095,25.7517,N/A,22.56944,23.84672,N/A,21.74603,24.12698,23.44642,19.28571,N/A,N/A,N/A,27.27891,16.42857,22.90178,25.64484,23.49603,22.36359,32.5,23.36734,26.88492,25.33304,30.18452,N/A,23.42687,24.82142,N/A,24.23611,19.59821,N/A,25.0,29.41269,20.98214,N/A,22.51653,19.79591,17.49007,N/A,18.75992,39.0,N/A,25.43452,25.72023,26.6369,N/A,31.66666,17.30867,18.24404,N/A,N/A,N/A,23.28125,27.47023,22.59176,26.37002,22.5,N/A,24.82638,N/A,25.04261,N/A,22.98752,22.46031,24.81037,N/A,N/A,23.77827,N/A,21.91964,22.7619,26.69034,N/A,25.56831,22.31481,21.5873,21.20634,N/A,27.0,20.0,28.54421,26.81547,25.87953,22.63888,24.5238,27.3424,26.66666,24.27083,24.80248,23.37868,15.71428,22.0238,28.0,25.20601,24.65277,28.4533,25.02465,24.47089,23.8616,24.41964,N/A,N/A,21.66666,,,,,,,,,,
tcx,23.14642,19.53865,26.69642,21.22458,22.4218,16.70321,24.40401,15.891,21.40425,22.74454,13.21428,31.66666,22.55229,17.07913,22.15182,22.22248,16.52616,23.15125,19.54209,16.875,19.3898,25.27777,20.29796,22.31118,25.15461,30.0,21.11374,28.5,21.98445,23.0,21.11111,22.14285,21.13429,21.7041,15.0,19.62178,20.63343,20.26411,22.44615,22.88195,23.90636,25.31145,16.42857,22.8642,19.82176,20.30849,21.19201,23.889,20.87898,20.05555,25.0,26.25,21.69493,23.89606,21.4742,22.01311,20.7738,23.67975,19.58683,20.645,25.74706,22.94349,21.96301,22.44614,20.23504,21.78514,21.47383,16.42857,21.66803,25.3869,19.375,26.77083,27.47619,20.72312,14.28571,22.26791,21.60356,21.83359,N/A,20.70592,19.65509,26.875,22.76603,22.80773,22.46856,24.7037,21.17592,22.20437,22.30632,19.14285,25.0,22.08302,20.33615,24.18224,18.21568,20.43779,20.26947,21.67169,18.08948,22.7301,18.02502,21.25,22.59595,22.36984,21.29681,21.01763,21.14583,19.96659,29.5,17.21752,22.64436,25.5355,15.0,22.8256,22.22015,22.27411,23.11835,20.83333,24.75328,22.31257,24.25719,24.09495,22.29632,23.34998,23.34734,21.6812,23.34144,22.19136,23.53427,22.27709,21.80555,20.93466,24.52037,22.15881,16.51074,22.78335,25.19079,22.23344,20.75971,22.6982,15.0,14.88636,18.4829,20.00744,,,,,,,,,
fy,23.58928,19.47107,27.58928,23.99166,19.96993,22.7486,21.92354,24.0901,18.56073,19.20571,N/A,26.42857,21.44766,22.37746,15.83093,13.38316,22.88748,20.75,24.30787,17.81746,22.64972,14.28571,22.16455,23.91069,21.89484,32.5,20.91874,N/A,19.9306,27.85714,18.88888,27.5,21.23899,22.17877,20.83333,22.6309,20.75346,23.95808,24.32652,19.82762,18.59548,24.24379,N/A,20.14515,21.35562,20.25252,20.67036,10.56158,22.04707,22.54232,25.0,25.0,18.33906,22.53692,19.03769,20.98091,25.4613,21.66381,21.65809,22.04761,22.30835,10.74288,15.31075,19.957,24.6875,21.29493,20.02916,N/A,19.06686,34.16666,15.71428,30.31919,25.92619,21.51376,21.25,18.81306,23.37249,24.00549,N/A,21.27557,18.21654,30.0,20.78463,20.89439,21.34815,24.375,21.88888,22.99981,21.14285,27.0,26.25,23.87533,21.73601,22.9071,22.84938,20.68838,21.74432,21.63888,22.48533,22.56632,22.29406,N/A,24.20933,19.46949,20.17233,26.96296,25.19841,22.80961,N/A,23.42916,17.44958,26.95041,N/A,12.69859,18.58103,20.38825,12.19822,N/A,20.0738,22.25476,22.13054,21.5408,24.52243,24.69397,14.60826,21.21916,23.59942,19.89459,21.13725,10.47801,21.5,23.04113,26.02927,19.48539,22.43189,22.26585,23.62096,23.34396,22.01914,19.96759,17.0,18.0,27.5,22.93898,22.8862,,,,,,,,
uk,25.44657,18.87882,27.94642,20.23863,20.29178,21.81027,24.66184,20.71619,13.41674,13.78488,20.5303,30.0,22.7397,21.35163,20.48625,20.45898,20.64926,28.00824,22.72333,20.21634,21.67191,22.73719,19.54838,19.7367,24.22419,11.25,22.27945,N/A,10.55051,26.66666,21.66666,20.71428,20.4706,22.011,29.16666,22.14854,19.36884,22.61944,23.43577,23.38767,22.46916,24.71645,N/A,22.79144,22.7,15.69547,20.80158,20.69278,21.88767,24.04495,28.125,16.5,22.32986,25.34642,22.9382,20.38413,25.40873,22.2521,21.866,22.70717,24.5758,21.37467,20.22651,21.64524,27.0,21.22172,19.92603,N/A,12.21748,21.57738,19.84821,26.27579,25.66319,24.55692,20.71428,19.81648,23.33756,24.39807,N/A,21.60513,21.52764,14.5,22.53779,11.51794,10.7359,26.65277,22.5582,23.81579,24.68532,22.5,N/A,24.57823,20.84562,25.241,21.64604,18.00546,21.22006,20.41111,20.87016,22.13478,20.76911,26.25,22.67558,22.40099,19.74169,25.25429,19.72222,20.996,18.125,20.49643,18.70224,24.84746,22.5,21.29876,21.17842,17.69975,22.3255,24.375,26.36721,20.74216,23.54224,25.31698,22.5291,23.13907,20.87335,21.2446,23.63699,11.51451,22.37099,21.56483,27.5,21.11628,23.62299,21.72622,20.27768,22.7445,25.76443,21.42869,22.27119,22.32187,N/A,24.375,30.0,25.70138,22.38364,19.6416,,,,,,,
uz,N/A,N/A,N/A,28.5,24.0909,23.33333,N/A,28.75,27.5,25.5,N/A,N/A,27.22222,18.63636,N/A,21.0,23.0,1.66666,N/A,N/A,22.77777,N/A,16.81818,N/A,26.5,N/A,N/A,N/A,28.5,N/A,N/A,N/A,22.0,N/A,N/A,28.0,22.27272,19.5,31.25,N/A,18.63636,30.0,N/A,N/A,20.90909,N/A,20.5,22.0,18.0,N/A,N/A,N/A,N/A,27.22222,N/A,19.0909,N/A,34.44444,19.5,N/A,21.66666,N/A,20.0,22.5,N/A,N/A,25.0,N/A,27.77777,N/A,N/A,31.11111,N/A,17.5,N/A,27.91666,11.36363,11.36363,N/A,25.0,N/A,N/A,18.18181,29.5,27.5,N/A,N/A,1.66666,N/A,N/A,N/A,N/A,23.0,23.88888,22.0,17.5,18.63636,N/A,23.0,26.0,21.36363,N/A,24.54545,17.08333,21.25,N/A,N/A,16.25,N/A,22.5,20.83333,18.33333,N/A,16.81818,33.125,20.83333,23.33333,N/A,N/A,21.81818,28.0,25.55555,18.5,26.36363,18.5,18.18181,N/A,27.5,16.81818,15.45454,N/A,22.27272,19.61538,28.0,23.0,22.5,27.27272,N/A,31.11111,18.63636,N/A,N/A,N/A,N/A,23.07692,18.0,26.5,,,,,,
lzz,25.98313,21.97531,27.8125,22.34201,23.44423,22.96017,26.5158,22.13535,22.42481,22.35301,24.375,34.44444,25.41056,22.17153,26.07386,25.23265,21.49593,26.42045,23.87147,15.67099,23.12594,29.77749,22.59371,22.45957,25.3599,3.75,22.44302,20.19841,23.90254,36.42857,20.90909,30.0,23.04317,23.31501,25.71428,20.69575,21.9941,23.19613,24.52867,26.02382,23.40614,27.52386,12.85714,25.19073,22.9049,19.66423,23.2329,25.65294,22.85465,23.41366,30.23809,20.9375,20.38297,26.94121,26.4436,23.21513,28.93479,24.48431,23.115,23.90151,26.96908,25.01759,24.80425,25.4434,19.54166,23.64576,23.49729,20.0,23.24651,24.0873,23.44113,26.78174,28.83184,25.51879,14.375,23.86494,23.76942,23.17157,31.42857,23.17738,24.97894,20.80555,23.83398,24.6426,24.92712,25.16666,23.43073,24.18598,23.87547,23.58333,17.14285,26.15167,21.60036,26.74712,22.67865,21.2544,23.51412,22.00852,21.44425,24.38243,21.23341,13.57142,11.59668,25.23174,22.78121,22.6187,21.60714,21.78959,23.0,21.67956,24.40016,25.1511,17.85714,24.95318,24.09021,24.03951,25.37534,23.57142,25.38054,21.95859,25.72122,27.05297,22.83694,17.61,24.16674,23.44177,25.84836,24.61782,23.89173,24.92347,26.5,21.83182,24.29436,24.31603,20.79995,22.67043,27.51972,22.49938,22.23567,23.70225,28.75,18.85714,19.0625,24.60459,23.04512,24.73008,23.03216,26.36363,,,,,
bo,25.0321,24.31934,25.9375,25.6574,23.11644,23.78136,23.32194,22.84278,22.78566,23.35266,26.98412,28.33333,23.2154,24.11192,26.23931,25.21404,23.68202,26.03535,24.81975,23.57142,24.6938,24.54861,22.80963,23.7163,25.55597,8.75,23.54328,N/A,22.54866,42.5,29.16666,30.0,23.22211,23.75775,13.33333,24.59169,23.89878,24.14591,24.24715,24.16501,23.81346,23.10373,N/A,23.91087,24.66373,23.06801,22.60095,25.11707,24.30272,22.64351,21.66666,18.81944,24.37076,24.2137,27.08333,22.84063,24.63265,26.08615,24.70868,25.09738,26.72839,24.49092,24.53583,25.43408,19.00793,24.45673,22.87845,N/A,22.40933,22.91666,18.42857,9.67857,21.93253,24.12814,25.83333,22.42722,23.53001,22.83858,22.22222,23.11547,27.85,27.5,25.26615,23.97744,23.18535,28.38888,24.13293,24.11023,22.83817,23.38095,24.28571,24.98809,24.80824,23.97712,24.62244,22.28754,25.08033,24.42742,23.12127,23.16065,22.93695,N/A,25.12973,24.56464,22.99214,25.10405,27.07142,24.16398,N/A,23.13687,23.80046,27.03795,N/A,25.08737,23.6017,25.50613,25.40404,34.16666,21.19874,24.15192,24.47132,22.70705,22.65166,25.13952,25.02106,25.02828,25.09733,22.3961,23.3621,24.3726,19.72222,23.33887,27.10409,25.07199,22.79514,24.55316,24.70906,23.31894,24.21987,24.97742,N/A,31.11111,23.05555,23.74404,22.98878,24.78476,23.892,25.45454,25.73998,,,,
ms,22.08333,19.55838,21.23611,19.75396,20.49029,19.96457,21.46326,20.00278,19.69639,19.73515,20.13888,29.28571,21.98729,20.20987,22.79974,21.95197,19.90107,21.13041,22.05311,14.24107,19.88988,19.76133,19.40279,20.84663,23.92601,26.66666,3.19371,N/A,20.43121,N/A,13.57142,23.33333,20.04109,19.28303,18.57142,17.26915,18.95487,19.67372,22.12854,21.60422,20.1588,22.83599,15.71428,20.13307,19.03256,17.52998,20.1954,20.11487,20.73494,20.16283,25.0,19.86111,18.24739,21.96564,22.18055,21.05075,23.45414,23.04885,19.11954,20.11349,23.27563,21.71671,20.82502,22.18969,17.83699,20.05071,19.95065,15.55555,19.78403,16.25,18.125,24.27951,28.6926,21.46257,25.0,21.05409,20.89139,21.10225,1.0,21.00506,22.57688,20.25,21.22919,21.36401,20.5732,21.25744,22.9246,21.7628,21.86623,16.60714,20.0,21.914,18.61444,21.7848,19.6495,19.49092,20.21034,20.5032,19.59299,21.33364,20.32888,20.625,22.17318,21.35757,20.08889,21.62824,23.57638,20.15238,N/A,20.63346,19.79152,22.58169,15.0,20.66119,20.885,21.06914,20.40193,22.5,22.82095,20.83635,22.32997,22.80475,20.60086,22.24073,21.32119,20.30251,21.84564,21.20682,20.09463,20.29043,25.04629,20.01283,22.34661,21.09994,19.55784,21.32726,23.78815,14.19747,20.39311,21.63313,N/A,20.625,19.95833,19.60317,20.40891,21.39687,20.41307,19.0909,22.28586,22.69226,,,
